   F     ;Na2O;   K2O   ;   FeO   ;   Cl    ;   SiO2  ;   CaO   ;   MnO   ;   TiO2  ;   Al2O3 ;   SO3   ;   NiO   ;   P2O5  ;   MgO   ;   Cr2O3 ;total na corr;  Total  ;Comment  
0.7717167;4.439205647;2.441227663;4.049733353;0.370098654;70.52209525;2.029442072;0.106759227;0.666990982;14.39216059;0.006100527;0;0.092524664;0.520578327;0;100;99.17128974;Grid 8-5 grid mitte 
0.786773206;4.335530689;2.454323688;3.955323479;0.365798451;70.2251284;2.42469197;0.145093241;0.678464167;14.22220292;0;0;0.110352605;0.710139452;0;100;99.19064377;Grid 8-6 grid mitte 
0.714521544;4.146985787;2.417753357;4.127100903;0.362866861;69.83250432;2.972246538;0.10498676;0.673749987;13.87354171;0;0.011212178;0.147796896;0.99686458;0;100;99.2258413;Grid 8-7 grid mitte 
0.803577058;4.586879339;2.525235792;3.870665064;0.360894022;70.19746556;2.112201274;0.10734808;0.664535735;14.48892374;0.016357803;0;0.131884784;0.554120566;0;100;99.14372204;Grid 8-8 grid mitte 
0.84184274;4.377008508;2.438476356;3.806726844;0.354352297;70.44441734;2.217262205;0.103438098;0.684125244;14.42398194;0;0;0.135186425;0.607314775;0;100;99.1829007;Grid 8-9 grid mitte 
0.750813721;4.133379417;2.465496081;4.074675284;0.332898308;69.69354106;3.121049671;0.153645373;0.666820918;13.84344808;0.01229163;0;0.138280835;1.004840738;0;100;99.22838134;Grid 8-10 grid mitte 
0.791805694;5.953329342;2.47262085;3.84967423;0.359451434;69.40551546;1.846871593;0.099228847;0.666250827;14.35983165;0.012150471;0;0.08100314;0.516395018;0;100;98.88863335;Grid 9-1 grid mitte 
0.846963771;4.025690937;2.485587753;4.071980596;0.350255876;70.48950716;2.223407916;0.100365719;0.682077233;14.43013244;0.01945866;0;0.114703679;0.595025334;0;100;99.24848461;Grid 9-2 grid mitte 
0.825592757;5.818348292;2.454437509;3.865967561;0.354405747;69.32237341;1.970049138;0.093425011;0.662098989;14.36917284;0;0;0.163493769;0.528054408;0;100;98.9138316;Grid 9-4 grid mitte 
0.819169435;4.57894601;2.406310214;3.766131476;0.356338704;70.57759056;1.920952324;0.075773173;0.689126287;14.63241403;0;0.030718854;0.094204485;0.478190157;0;100;99.14520303;Grid 9-5 grid mitte 
0.803578672;4.526756523;2.47120941;3.737050812;0.349515723;70.44740521;2.188316918;0.047148749;0.680581936;14.37934335;0.021524429;0.027674265;0.121971763;0.614983677;0;100;99.15494576;Grid 9-6 grid mitte 
0.789684086;4.204038898;2.456225176;3.975085086;0.373305204;70.32598287;2.418279317;0.112812012;0.679948765;14.29020526;0;0.010255637;0.097428556;0.683025456;0;100;99.21519064;Grid 9-7 grid mitte 
0.811589308;4.302217264;2.446068534;3.891519365;0.354428242;70.38123024;2.239575558;0.096568854;0.672899996;14.48532815;0;0;0.167454503;0.573249157;0;100;99.19686271;Grid 9-8 grid mitte 
0.855477848;4.337708052;2.489224353;3.815163545;0.372663034;70.71435485;1.993026612;0.090592119;0.674293611;14.47517933;0.001029456;0;0.101916134;0.52399305;0;100;99.1902373;Grid 9-9 grid mitte 
0.806837871;4.103511267;2.376261025;4.085645851;0.338583749;70.33794383;2.399931014;0.131728632;0.66481794;14.31622656;0;0.049398237;0.096738214;0.708041397;0;100;99.23395712;Grid 9-10 grid mitte 
0.832664452;6.52709183;2.470676297;3.652392069;0.371309665;69.25582879;1.760432743;0.070822007;0.634362833;14.33032722;0;0;0.119385669;0.409755897;0;100;98.78152346;Grid 10-1 grid mitte 
0.807235755;6.401064779;2.44393403;3.839168795;0.349566422;68.64938959;2.279253895;0.07072153;0.675895769;14.13622363;0;0.011113383;0.10406168;0.65063808;0;100;98.80505017;Grid 10-5 grid mitte 
0.758389508;4.324257555;2.440746826;4.154788881;0.339333311;69.95274435;2.49185124;0.134915654;0.671512004;14.18760749;0.016353413;0;0.17273292;0.750212802;0;100;99.19274824;Grid 10-6 grid mitte 
0.81714662;4.632735231;2.471945422;3.918612776;0.343468153;70.26128072;2.171538948;0.115856422;0.703340755;14.2441882;0.002050556;0.002050556;0.1168817;0.621318509;0;100;99.13516167;Grid 10-7 grid mitte 
0.804570914;4.636208181;2.4024385;3.907037356;0.371025058;70.20163081;2.325568667;0.08404435;0.685678906;14.17582205;0.008199449;0.029723002;0.096343523;0.694903286;0;100;99.13451334;Grid 10-8 grid mitte 
0.827464274;4.417983848;2.483423289;4.085798067;0.369937328;70.38392568;2.058871258;0.074193559;0.695564614;14.29153427;0.001030466;0.002060932;0.170026906;0.569847751;0;100;99.17525142;Grid 10-9 grid mitte 
0.839714103;4.395550428;2.499493825;3.673232134;0.356775081;70.82140469;1.853162158;0.129266334;0.701140593;14.64846092;0;0.006204784;0.099276544;0.410549875;0;100;99.17943929;Grid 10-10 grid mitte 
