   F     ;   Na2O  ;   K2O   ;   FeO   ;   Cl    ;   SiO2  ;   CaO   ;   MnO   ;   TiO2  ;   Al2O3 ;   SO3   ;   NiO   ;   P2O5  ;   MgO   ;  Total  ;Comment  
0.795372613;7.793165282;2.29807286;3.463432235;0.316566214;68.50888579;1.478957781;0.072216668;0.651928547;14.162381;0.005935617;0;0.115744522;0.337340872;100;decomp_2_11 
0.766424372;7.680423452;2.285042424;3.406217599;0.337470678;68.10707186;1.810347223;0.080301758;0.636315195;14.22255943;0.006098868;0.047774463;0.150438736;0.463513944;100;decomp_2_12 
0.743850906;7.838830267;2.331385339;3.729042041;0.332775405;67.6610699;1.952608628;0.117450143;0.629337016;14.02354708;0;0;0.118428894;0.521674385;100;decomp_2_13 
0.786875127;8.001428606;2.32722494;3.502134618;0.331057326;68.02687744;1.561961863;0.126725208;0.648361528;14.21385296;0;0;0.093324765;0.380175623;100;decomp_2_14 
0.740360414;8.12684733;2.320839184;3.762439251;0.341328645;67.3483472;1.966796291;0.055747085;0.629844262;13.98371625;0.008802171;0;0.185823618;0.529108301;100;decomp_2_15 
0.822281064;8.004250574;2.317248657;3.341922325;0.363720042;68.07431245;1.596652767;0.136883887;0.666820078;14.17334875;0;0.032265488;0.110484852;0.359809074;100;decomp_2_16 
0.749260538;7.685147325;2.288469935;3.392016581;0.375126468;68.17576218;1.74761299;0.067483068;0.658952314;14.16449756;0.016870767;0.013893573;0.191532826;0.473373876;100;decomp_2_17 
0.748614105;8.004523501;2.303199802;3.482983985;0.332277859;68.00422395;1.718746782;0.124604197;0.642799429;14.06741828;0.000988922;0;0.137460186;0.432159001;100;decomp_2_18 
0.852275044;7.924668084;2.378074514;3.176033072;0.364414242;68.26989746;1.562339652;0.098757247;0.62710852;14.26647194;0.000987572;0.008888152;0.129371994;0.340712503;100;decomp_2_19 
0.807802655;7.845052664;2.330613221;3.637553913;0.341875368;68.04491962;1.645885699;0.088887596;0.664215;14.0960098;0;0;0.101585824;0.39559864;100;decomp_2_20 
0.773478984;7.935361744;2.239845748;3.587291347;0.334158646;67.60127691;1.981364207;0.102213233;0.644729623;14.06414772;0;0.02063921;0.143491654;0.572000976;100;decomp_2_21 
0.769029041;7.698881309;2.255165417;3.601211152;0.34287919;67.9390624;1.80746316;0.118538234;0.644612878;14.17462572;0.017633787;0;0.152826153;0.478071557;100;decomp_2_22 
0.769415152;7.6857452;2.24599189;3.755640835;0.347258166;67.94782048;1.855934399;0.107971026;0.63907175;13.98467969;0;0.043772038;0.096298483;0.520400893;100;decomp_2_23 
0.792610061;7.721033368;2.269347178;3.633691993;0.335222258;68.08236998;1.670247341;0.121188221;0.639170135;14.23472939;0.01563719;0;0.074276652;0.410476234;100;decomp_2_24 
0.770587341;7.940628846;2.278639433;3.61133663;0.339993656;67.7697957;1.805181218;0.108135518;0.630303426;14.1472432;0.015587102;0.005845163;0.146129079;0.430593685;100;decomp_2_25 
0.788431714;7.901015114;2.322307539;3.558201118;0.325337993;68.06696097;1.612035103;0.117238917;0.625274222;14.15757617;0.016608847;0.025401765;0.097699097;0.385911434;100;decomp_2_26 
0.762961831;7.609752421;2.268211687;3.488950616;0.322905136;68.19205171;1.884269605;0.080726284;0.667468543;14.15269584;0.011813603;0;0.093524353;0.464668366;100;decomp_2_27 
0.696756165;7.628910284;2.335368538;3.487734054;0.280679079;68.63987121;1.407348624;0.127491554;0.640422688;14.30573829;0.018777826;0;0.113655261;0.317246424;100;decomp_2_28 
0.752222486;7.734933413;2.263568582;3.532389473;0.318437566;68.14366742;1.744998428;0.129149601;0.64870563;14.04970203;0.025632745;0.019717496;0.167598719;0.469276413;100;decomp_2_29 
0.628949416;7.812010864;2.265007787;3.552527471;0.247827792;68.09340107;1.803909864;0.142180088;0.647709289;14.15185554;0.02863349;0;0.135268556;0.490718775;100;decomp_2_30 
0.746458941;7.662331403;2.268278437;3.462214099;0.276060249;68.46792482;1.487934845;0.107633599;0.682676067;14.37705832;0.029898222;0.0269084;0.070759125;0.333863478;100;decomp_2_31 
0.68196204;7.579623141;2.289229402;3.647145005;0.331467599;68.11108389;1.896675629;0.142200602;0.64490977;13.97571546;0.016022603;0;0.129182237;0.554782628;100;decomp_2_32 
